4	1000	100000	41400	4.869e-07	5.397e-07	5.401e-07	5.603e+01	
8	1000	100000	164400	5.433e-07	7.742e-07	7.507e-07	1.502e+02	
12	1000	100000	369000	5.486e-07	1.162e-06	1.192e-06	2.249e+02	
16	1000	100000	655200	4.895e-07	2.273e-06	2.260e-06	3.224e+02	
24	1000	100000	1472400	4.075e-07	8.206e-06	8.284e-06	5.464e+02	
20	1000	100000	1023000	6.347e-07	4.661e-06	4.590e-06	4.154e+02	
28	1000	100000	2003400	3.000e-07	1.107e-05	1.137e-05	6.657e+02	
32	1000	100000	2616000	3.932e-07	1.365e-05	1.367e-05	8.013e+02	
36	1000	100000	3310200	2.030e-07	1.534e-05	1.568e-05	8.827e+02	
40	1000	100000	4086000	3.693e-07	1.734e-05	1.713e-05	9.416e+02	
44	1000	100000	4943400	3.446e-07	1.831e-05	1.845e-05	9.401e+02	
48	1000	100000	5882400	2.622e-07	1.938e-05	1.947e-05	9.688e+02	
8	1001	100000	164400	5.808e-07	8.373e-07	7.993e-07	1.367e+02	
52	1000	100000	6903000	4.488e-07	2.065e-05	2.102e-05	9.958e+02	
4	1001	100000	41400	5.274e-07	5.781e-07	5.962e-07	5.511e+01	
12	1001	100000	369000	4.943e-07	9.575e-07	9.686e-07	2.027e+02	
16	1001	100000	655200	4.712e-07	1.766e-06	1.721e-06	2.809e+02	
56	1000	100000	8005200	5.201e-07	2.172e-05	2.245e-05	1.040e+03	
20	1001	100000	1023000	5.902e-07	4.694e-06	4.701e-06	4.452e+02	
60	1000	100000	9189000	5.116e-07	2.300e-05	2.253e-05	1.062e+03	
24	1001	100000	1472400	5.019e-07	8.249e-06	8.340e-06	5.936e+02	
28	1001	100000	2003400	4.486e-07	1.112e-05	1.125e-05	6.912e+02	
32	1001	100000	2616000	4.525e-07	1.382e-05	1.382e-05	8.012e+02	
36	1001	100000	3310200	5.545e-07	1.582e-05	1.558e-05	8.822e+02	
40	1001	100000	4086000	3.310e-07	1.681e-05	1.703e-05	9.919e+02	
44	1001	100000	4943400	3.526e-07	1.830e-05	1.815e-05	9.601e+02	
48	1001	100000	5882400	4.348e-07	1.883e-05	1.975e-05	9.548e+02	
4	1002	100000	41400	5.490e-07	5.878e-07	6.092e-07	5.811e+01	
8	1002	100000	164400	5.256e-07	7.956e-07	7.860e-07	1.326e+02	
12	1002	100000	369000	5.907e-07	1.122e-06	1.125e-06	2.134e+02	
16	1002	100000	655200	5.715e-07	1.749e-06	1.763e-06	2.935e+02	
20	1002	100000	1023000	4.984e-07	4.791e-06	4.806e-06	4.510e+02	
28	1002	100000	2003400	3.730e-07	1.165e-05	1.122e-05	6.738e+02	
24	1002	100000	1472400	4.701e-07	8.144e-06	8.327e-06	5.573e+02	
52	1001	100000	6903000	3.572e-07	2.051e-05	2.074e-05	1.003e+03	
56	1001	100000	8005200	3.536e-07	2.158e-05	2.177e-05	1.037e+03	
32	1002	100000	2616000	2.740e-07	1.372e-05	1.361e-05	7.844e+02	
60	1001	100000	9189000	2.929e-07	2.247e-05	2.203e-05	1.089e+03	
36	1002	100000	3310200	3.388e-07	1.546e-05	1.531e-05	8.657e+02	
8	1003	100000	164400	4.722e-07	7.018e-07	7.043e-07	1.490e+02	
4	1003	100000	41400	4.787e-07	5.220e-07	5.244e-07	5.922e+01	
44	1002	100000	4943400	3.613e-07	1.813e-05	1.839e-05	9.295e+02	
40	1002	100000	4086000	3.606e-07	1.687e-05	1.692e-05	9.160e+02	
48	1002	100000	5882400	5.222e-07	1.965e-05	1.944e-05	9.828e+02	
12	1003	100000	369000	5.066e-07	1.133e-06	1.072e-06	2.229e+02	
16	1003	100000	655200	5.806e-07	2.401e-06	2.460e-06	3.140e+02	
20	1003	100000	1023000	7.389e-07	4.956e-06	4.851e-06	4.100e+02	
24	1003	100000	1472400	4.185e-07	8.073e-06	8.038e-06	5.745e+02	
52	1002	100000	6903000	3.547e-07	2.051e-05	2.087e-05	9.638e+02	
56	1002	100000	8005200	4.044e-07	2.143e-05	2.170e-05	1.052e+03	
60	1002	100000	9189000	4.424e-07	2.274e-05	2.234e-05	1.094e+03	
28	1003	100000	2003400	2.938e-07	1.144e-05	1.127e-05	6.570e+02	
32	1003	100000	2616000	5.005e-07	1.395e-05	1.400e-05	7.766e+02	
36	1003	100000	3310200	4.154e-07	1.527e-05	1.533e-05	9.055e+02	
40	1003	100000	4086000	4.332e-07	1.701e-05	1.707e-05	9.134e+02	
44	1003	100000	4943400	5.345e-07	1.817e-05	1.825e-05	9.701e+02	
52	1003	100000	6903000	3.816e-07	2.067e-05	2.089e-05	9.916e+02	
48	1003	100000	5882400	4.575e-07	1.980e-05	1.989e-05	9.638e+02	
56	1003	100000	8005200	5.228e-07	2.132e-05	2.162e-05	1.007e+03	
60	1003	100000	9189000	5.040e-07	2.299e-05	2.289e-05	1.112e+03	
