4	1000	100000	2700	1.399e-07	1.401e-07	1.396e-07	
8	1000	100000	2700	1.425e-07	1.420e-07	1.418e-07	
12	1000	100000	2700	2.177e-07	2.185e-07	2.225e-07	
16	1000	100000	2700	1.957e-07	1.988e-07	1.983e-07	
24	1000	100000	2700	1.055e-07	1.058e-07	1.059e-07	
20	1000	100000	2700	1.130e-07	1.114e-07	1.138e-07	
28	1000	100000	2700	1.755e-07	1.778e-07	1.754e-07	
32	1000	100000	2700	1.517e-07	1.548e-07	1.499e-07	
36	1000	100000	2700	2.460e-07	2.430e-07	2.418e-07	
40	1000	100000	2700	1.283e-07	1.295e-07	1.281e-07	
44	1000	100000	2700	1.558e-07	1.555e-07	1.565e-07	
48	1000	100000	2700	1.189e-07	1.156e-07	1.164e-07	
4	1001	100000	2700	1.234e-07	1.241e-07	1.239e-07	
52	1000	100000	2700	1.391e-07	1.387e-07	1.362e-07	
8	1001	100000	2700	1.134e-07	1.142e-07	1.151e-07	
56	1000	100000	2700	1.604e-07	1.582e-07	1.600e-07	
12	1001	100000	2700	1.049e-07	1.056e-07	1.050e-07	
16	1001	100000	2700	1.099e-07	1.105e-07	1.094e-07	
60	1000	100000	2700	1.356e-07	1.351e-07	1.384e-07	
20	1001	100000	2700	1.114e-07	1.110e-07	1.131e-07	
24	1001	100000	2700	1.146e-07	1.146e-07	1.135e-07	
28	1001	100000	2700	1.515e-07	1.524e-07	1.498e-07	
32	1001	100000	2700	1.757e-07	1.780e-07	1.734e-07	
36	1001	100000	2700	1.060e-07	1.054e-07	1.042e-07	
40	1001	100000	2700	2.079e-07	2.087e-07	2.099e-07	
48	1001	100000	2700	1.775e-07	1.788e-07	1.754e-07	
44	1001	100000	2700	8.541e-08	8.461e-08	8.510e-08	
4	1002	100000	2700	1.200e-07	1.201e-07	1.196e-07	
52	1001	100000	2700	1.261e-07	1.269e-07	1.258e-07	
56	1001	100000	2700	1.345e-07	1.319e-07	1.321e-07	
8	1002	100000	2700	1.497e-07	1.518e-07	1.528e-07	
12	1002	100000	2700	9.982e-08	9.898e-08	9.949e-08	
60	1001	100000	2700	1.347e-07	1.326e-07	1.350e-07	
16	1002	100000	2700	1.304e-07	1.308e-07	1.299e-07	
20	1002	100000	2700	1.151e-07	1.142e-07	1.163e-07	
24	1002	100000	2700	1.584e-07	1.564e-07	1.587e-07	
28	1002	100000	2700	1.692e-07	1.719e-07	1.671e-07	
32	1002	100000	2700	1.995e-07	2.029e-07	1.971e-07	
36	1002	100000	2700	8.197e-08	8.246e-08	8.082e-08	
40	1002	100000	2700	9.897e-08	9.938e-08	9.835e-08	
44	1002	100000	2700	1.282e-07	1.276e-07	1.262e-07	
48	1002	100000	2700	1.409e-07	1.403e-07	1.370e-07	
4	1003	100000	2700	1.555e-07	1.556e-07	1.535e-07	
52	1002	100000	2700	1.642e-07	1.638e-07	1.638e-07	
8	1003	100000	2700	1.181e-07	1.200e-07	1.185e-07	
56	1002	100000	2700	1.461e-07	1.437e-07	1.452e-07	
60	1002	100000	2700	1.562e-07	1.555e-07	1.581e-07	
12	1003	100000	2700	1.342e-07	1.344e-07	1.344e-07	
20	1003	100000	2700	1.213e-07	1.201e-07	1.202e-07	
16	1003	100000	2700	1.290e-07	1.280e-07	1.288e-07	
24	1003	100000	2700	1.667e-07	1.659e-07	1.641e-07	
28	1003	100000	2700	1.882e-07	1.918e-07	1.872e-07	
32	1003	100000	2700	1.247e-07	1.273e-07	1.244e-07	
36	1003	100000	2700	1.885e-07	1.864e-07	1.869e-07	
44	1003	100000	2700	1.098e-07	1.097e-07	1.095e-07	
40	1003	100000	2700	1.350e-07	1.360e-07	1.334e-07	
48	1003	100000	2700	9.944e-08	9.720e-08	9.862e-08	
52	1003	100000	2700	1.695e-07	1.681e-07	1.674e-07	
56	1003	100000	2700	1.616e-07	1.599e-07	1.617e-07	
60	1003	100000	2700	1.277e-07	1.273e-07	1.274e-07	
