4	1000	100000	41400	5.907e-07	5.934e-07	6.152e-07	2.049e+02	
8	1000	100000	164400	4.294e-07	5.204e-07	4.805e-07	4.365e+02	
12	1000	100000	369000	4.332e-07	5.480e-07	5.200e-07	8.739e+02	
16	1000	100000	655200	3.146e-07	4.435e-07	5.015e-07	1.858e+03	
20	1000	100000	1023000	3.865e-07	6.365e-07	6.241e-07	3.536e+03	
24	1000	100000	1472400	3.827e-07	1.049e-06	1.065e-06	5.903e+03	
28	1000	100000	2003400	3.823e-07	4.400e-06	4.351e-06	1.089e+04	
32	1000	100000	2616000	9.803e-07	1.219e-05	1.209e-05	1.587e+04	
36	1000	100000	3310200	1.692e-06	1.828e-05	1.897e-05	1.898e+04	
8	1001	100000	164400	5.340e-07	5.769e-07	5.821e-07	4.275e+02	
4	1001	100000	41400	5.855e-07	6.232e-07	6.234e-07	1.744e+02	
12	1001	100000	369000	3.670e-07	4.589e-07	4.432e-07	9.626e+02	
44	1000	100000	4943400	3.945e-06	3.719e-05	3.680e-05	1.890e+04	
40	1000	100000	4086000	4.313e-06	2.857e-05	2.909e-05	1.659e+04	
48	1000	100000	5882400	1.014e-05	4.383e-05	4.403e-05	1.501e+04	
52	1000	100000	6903000	3.330e-07	4.970e-05	5.150e-05	5.618e+04	
56	1000	100000	8005200	4.386e-07	5.218e-05	5.252e-05	6.288e+04	
60	1000	100000	9189000	8.143e-06	4.970e-05	4.959e-05	2.742e+04	
20	1001	100000	1023000	4.585e-07	7.467e-07	7.433e-07	3.837e+03	
24	1001	100000	1472400	3.984e-07	1.179e-06	1.181e-06	6.089e+03	
16	1001	100000	655200	3.471e-07	4.828e-07	5.344e-07	2.034e+03	
32	1001	100000	2616000	8.845e-07	1.370e-05	1.369e-05	1.741e+04	
28	1001	100000	2003400	4.442e-07	5.378e-06	5.408e-06	1.258e+04	
8	1002	100000	164400	4.451e-07	4.738e-07	4.791e-07	4.366e+02	
4	1002	100000	41400	4.400e-07	4.650e-07	4.647e-07	1.724e+02	
36	1001	100000	3310200	1.043e-06	1.875e-05	1.938e-05	1.958e+04	
40	1001	100000	4086000	3.715e-06	2.953e-05	2.961e-05	1.748e+04	
44	1001	100000	4943400	5.225e-06	3.499e-05	3.510e-05	1.792e+04	
48	1001	100000	5882400	5.860e-06	4.415e-05	4.484e-05	1.797e+04	
52	1001	100000	6903000	9.968e-06	4.874e-05	4.952e-05	1.672e+04	
56	1001	100000	8005200	2.065e-07	5.283e-05	5.207e-05	6.085e+04	
60	1001	100000	9189000	6.372e-07	5.367e-05	5.461e-05	6.626e+04	
12	1002	100000	369000	3.950e-07	4.878e-07	4.686e-07	8.754e+02	
16	1002	100000	655200	3.147e-07	4.813e-07	5.502e-07	2.166e+03	
20	1002	100000	1023000	4.440e-07	7.284e-07	7.144e-07	3.609e+03	
24	1002	100000	1472400	3.722e-07	1.455e-06	1.445e-06	6.917e+03	
36	1002	100000	3310200	1.226e-06	1.913e-05	1.976e-05	1.732e+04	
28	1002	100000	2003400	3.901e-07	3.637e-06	3.654e-06	1.076e+04	
32	1002	100000	2616000	1.068e-06	1.356e-05	1.331e-05	1.640e+04	
40	1002	100000	4086000	2.030e-06	2.676e-05	2.674e-05	1.814e+04	
44	1002	100000	4943400	4.478e-06	3.580e-05	3.551e-05	1.852e+04	
52	1002	100000	6903000	4.671e-07	5.091e-05	5.286e-05	5.525e+04	
48	1002	100000	5882400	4.152e-07	4.509e-05	4.612e-05	4.800e+04	
4	1003	100000	41400	4.730e-07	4.987e-07	4.992e-07	1.916e+02	
8	1003	100000	164400	5.146e-07	5.792e-07	5.679e-07	3.901e+02	
12	1003	100000	369000	3.890e-07	4.871e-07	4.814e-07	8.836e+02	
20	1003	100000	1023000	4.755e-07	7.926e-07	7.643e-07	3.715e+03	
16	1003	100000	655200	3.084e-07	4.207e-07	4.921e-07	1.822e+03	
24	1003	100000	1472400	3.765e-07	1.502e-06	1.463e-06	6.472e+03	
56	1002	100000	8005200	4.604e-07	5.253e-05	5.330e-05	6.318e+04	
60	1002	100000	9189000	1.896e-07	5.389e-05	5.409e-05	6.777e+04	
32	1003	100000	2616000	1.720e-06	1.329e-05	1.347e-05	1.401e+04	
28	1003	100000	2003400	5.584e-07	4.349e-06	4.348e-06	1.061e+04	
36	1003	100000	3310200	2.609e-06	2.156e-05	2.201e-05	1.518e+04	
40	1003	100000	4086000	3.526e-06	2.944e-05	2.909e-05	1.542e+04	
44	1003	100000	4943400	5.757e-06	3.350e-05	3.324e-05	1.595e+04	
48	1003	100000	5882400	1.622e-06	4.449e-05	4.491e-05	3.007e+04	
52	1003	100000	6903000	5.098e-07	5.036e-05	5.126e-05	5.474e+04	
56	1003	100000	8005200	6.144e-07	5.220e-05	5.275e-05	6.062e+04	
60	1003	100000	9189000	3.324e-07	5.271e-05	5.277e-05	6.954e+04	
